condition,seed,best_val_f1,epochs_trained,final_train_loss,val_f1_epoch1,checkpoint_path
C1,42,0.689107,5,0.285483,0.670666,projects/sparse-rationale-constrained-attention-hate-speech/checkpoints/C1/seed_42/cond_C1_seed_42/best_model.pt
C1,43,0.669208,5,0.305082,0.663793,projects/sparse-rationale-constrained-attention-hate-speech/checkpoints/C1/seed_43/cond_C1_seed_43/best_model.pt
C1,44,0.676131,5,0.285067,0.670267,projects/sparse-rationale-constrained-attention-hate-speech/checkpoints/C1/seed_44/cond_C1_seed_44/best_model.pt
C1,45,0.679499,5,0.281605,0.645241,projects/sparse-rationale-constrained-attention-hate-speech/checkpoints/C1/seed_45/cond_C1_seed_45/best_model.pt
C1,46,0.692828,5,0.287527,0.686618,projects/sparse-rationale-constrained-attention-hate-speech/checkpoints/C1/seed_46/cond_C1_seed_46/best_model.pt
C2,42,0.679717,5,0.351306,0.66786,projects/sparse-rationale-constrained-attention-hate-speech/checkpoints/C2/seed_42/cond_C2_seed_42/best_model.pt
C2,43,0.670326,5,0.359116,0.665549,projects/sparse-rationale-constrained-attention-hate-speech/checkpoints/C2/seed_43/cond_C2_seed_43/best_model.pt
C2,44,0.681239,5,0.358028,0.668622,projects/sparse-rationale-constrained-attention-hate-speech/checkpoints/C2/seed_44/cond_C2_seed_44/best_model.pt
C2,45,0.686547,5,0.347805,0.635116,projects/sparse-rationale-constrained-attention-hate-speech/checkpoints/C2/seed_45/cond_C2_seed_45/best_model.pt
C2,46,0.691137,5,0.353163,0.66641,projects/sparse-rationale-constrained-attention-hate-speech/checkpoints/C2/seed_46/cond_C2_seed_46/best_model.pt
C3,42,0.681167,5,0.357224,0.663311,projects/sparse-rationale-constrained-attention-hate-speech/checkpoints/C3/seed_42/cond_C3_seed_42/best_model.pt
C3,43,0.679758,5,0.378038,0.652749,projects/sparse-rationale-constrained-attention-hate-speech/checkpoints/C3/seed_43/cond_C3_seed_43/best_model.pt
C3,44,0.68417,5,0.382232,0.671802,projects/sparse-rationale-constrained-attention-hate-speech/checkpoints/C3/seed_44/cond_C3_seed_44/best_model.pt
C3,45,0.675995,5,0.367992,0.637496,projects/sparse-rationale-constrained-attention-hate-speech/checkpoints/C3/seed_45/cond_C3_seed_45/best_model.pt
C3,46,0.685217,5,0.360149,0.6731,projects/sparse-rationale-constrained-attention-hate-speech/checkpoints/C3/seed_46/cond_C3_seed_46/best_model.pt
C4,42,0.686139,5,0.352032,0.661718,projects/sparse-rationale-constrained-attention-hate-speech/checkpoints/C4/seed_42/cond_C4_seed_42/best_model.pt
C4,43,0.672699,5,0.37554,0.650422,projects/sparse-rationale-constrained-attention-hate-speech/checkpoints/C4/seed_43/cond_C4_seed_43/best_model.pt
C4,44,0.679235,5,0.377722,0.661599,projects/sparse-rationale-constrained-attention-hate-speech/checkpoints/C4/seed_44/cond_C4_seed_44/best_model.pt
C4,45,0.681814,5,0.367891,0.642458,projects/sparse-rationale-constrained-attention-hate-speech/checkpoints/C4/seed_45/cond_C4_seed_45/best_model.pt
C4,46,0.691493,5,0.357912,0.671789,projects/sparse-rationale-constrained-attention-hate-speech/checkpoints/C4/seed_46/cond_C4_seed_46/best_model.pt
C5,42,0.689632,5,0.325117,0.663747,projects/sparse-rationale-constrained-attention-hate-speech/checkpoints/C5/seed_42/cond_C5_seed_42/best_model.pt
C5,43,0.672155,5,0.339523,0.654824,projects/sparse-rationale-constrained-attention-hate-speech/checkpoints/C5/seed_43/cond_C5_seed_43/best_model.pt
C5,44,0.67919,5,0.336083,0.663543,projects/sparse-rationale-constrained-attention-hate-speech/checkpoints/C5/seed_44/cond_C5_seed_44/best_model.pt
C5,45,0.680841,5,0.330442,0.639336,projects/sparse-rationale-constrained-attention-hate-speech/checkpoints/C5/seed_45/cond_C5_seed_45/best_model.pt
C5,46,0.693135,5,0.318023,0.67832,projects/sparse-rationale-constrained-attention-hate-speech/checkpoints/C5/seed_46/cond_C5_seed_46/best_model.pt
