condition,seed,eraser_comprehensiveness_aopc,eraser_sufficiency_aopc,iou_f1,token_precision,token_recall,token_f1,adversarial_swap_delta,adversarial_swap_kl_mean,adversarial_swap_kl_std
C1,42,,,,,,,1.909673,1.909673,1.880009
C1,43,,,,,,,2.228589,2.228589,2.267253
C1,44,,,,,,,1.112343,1.112343,1.156874
C1,45,,,,,,,1.588205,1.588205,1.495568
C1,46,,,,,,,1.723515,1.723515,1.854529
C2,42,0.3123968869447708,0.20502425357699394,0.2378711558854719,0.2666419019316493,0.6879432624113475,0.3843229640734594,1.251768,1.251768,1.320183
C2,43,0.2882175087928772,0.17659146189689637,0.23565994045650016,0.2646359583952452,0.682767874257236,0.38143170744766286,0.856253,0.856253,0.924326
C2,44,0.3549011409282684,0.2211931824684143,0.23590524086818423,0.2648588410104012,0.6833429173854706,0.38175295818386257,1.354433,1.354433,1.267623
C2,45,0.36277596950531005,0.2384486585855484,0.23492462311557788,0.2639673105497771,0.6810427448725321,0.38046795523906407,1.551785,1.551785,1.491881
C2,46,0.35502849221229554,0.2262050189077854,0.23606882859033754,0.2650074294205052,0.6837262794709603,0.38196712534132893,1.642163,1.642163,1.588929
C3,42,,,,,,,1.656711,1.656711,1.681286
C3,43,,,,,,,2.115997,2.115997,2.159158
C3,44,,,,,,,1.619424,1.619424,1.609393
C3,45,,,,,,,2.482172,2.482172,2.433141
C3,46,,,,,,,1.803191,1.803191,1.930181
C4,42,0.31873183250427245,0.12672441098839043,0.13967537222357823,0.1700594353640416,0.43875790684301325,0.2451143117202977,1.266182,1.266182,1.39246
C4,43,0.33495317697525023,0.2037266358733177,0.0947831184056272,0.12013372956909361,0.3099482461184589,0.17315414681158645,2.088543,2.088543,2.13213
C4,44,0.3654079258441925,0.19336958676576615,0.12187650168188371,0.15074294205052005,0.3889208357293464,0.21727258124966536,1.91881,1.91881,1.980381
C4,45,0.34121139347553253,0.13450442645698785,0.12039592081583683,0.14910846953937593,0.3847038527889592,0.21491674251753495,1.612389,1.612389,1.491473
C4,46,0.28736354410648346,0.17676612921059132,0.10685077634230176,0.1339524517087667,0.34560092006900517,0.19307169245596187,1.690358,1.690358,1.864058
C5,42,0.28637605905532837,0.2782686769962311,0.05388782304480307,0.07095096582466567,0.18305539582135327,0.10226481769020719,1.781692,1.781692,1.764745
C5,43,0.3255466729402542,0.22360045164823533,0.08247362930334995,0.10572065378900446,0.2727621238259536,0.1523799325373454,2.200369,2.200369,2.283814
C5,44,0.2812254518270493,0.19837881848216057,0.08003238304516279,0.10282317979197622,0.2652865631589036,0.14820367296675052,0.984972,0.984972,0.988066
C5,45,0.31692407429218294,0.18960573822259902,0.083604084474356,0.10705794947994056,0.2762123825953613,0.154307436954543,1.717329,1.717329,1.547292
C5,46,0.26126551628112793,0.23567323610186577,0.06878397711015737,0.08930163447251115,0.2304006133793368,0.12871446163730793,1.808025,1.808025,1.861779
