condition,macro_f1_mean,macro_f1_std,accuracy_mean,accuracy_std,n_seeds
sparsemax_all,0.6734751268897231,0.001309934133217211,0.6869369369369368,0.00857719597677516,3
sparsemax_top24_lam20,0.6720637526291723,0.006129013088898079,0.6850311850311851,0.005621961448228682,3
sparsemax_top24_strong,0.6720637526291723,0.006129013088898079,0.6850311850311851,0.005621961448228682,3
vanilla,0.6719735568636785,0.009222362965272046,0.687976437976438,0.007056622264177525,3
sparsemax_top36,0.6715726505842331,0.004406829980088346,0.6852044352044352,0.009096871512699327,3
sparsemax_top24_lam10,0.6713087509514718,0.012370039971199587,0.6848579348579348,0.01514725779237311,3
sparsemax_top24,0.6713087509514718,0.012370039971199587,0.6848579348579348,0.01514725779237311,3
softmax_all,0.6695838853238804,0.0021783470895801547,0.6831254331254332,0.009316929771135664,3
softmax_top24,0.6689216795223719,0.0030255651910393137,0.6801801801801801,0.006703237048563128,3
sparsemax_top24_lam01,0.6675173984341884,0.0033881880381833526,0.6806999306999307,0.008074275951303589,3
softmax_all_strong,0.6665847302371497,0.0037781405231165142,0.6786209286209286,0.009644605446789155,3
sparsemax_top24_lam05,0.6654451351837168,0.010123937114458682,0.6810464310464311,0.011102889792108196,3
sparsemax_top12,0.6652206635426418,0.009395379882411034,0.6810464310464311,0.013566716528379732,3
